"","Epi_CD11c","CD33Low","LCs","Lang-","Lang+","cDC1","MDDC","MDM","Mac"
"LGALS12",0.0085349861418937,0.0269043845563683,0,0.00583835791161067,0,0.14428458905211,0,0.0567826283094753,0.123758256660693
"LGALS14",0.258501176984294,0.0571873437199995,0.0517187830262003,0,0,0,0,0.0452609454184253,0.0236930029629912
"LGALS2",246.293444130444,0,15.1175266778722,153.651226716774,190.182527264624,201.109566930328,95.8130366333107,49.1602682058418,22.3295288057835
"LGALS3",269.122615040893,284.714824358546,11.6338777813611,279.560678841301,229.115022268448,310.658279511295,279.508425573152,206.234302063301,250.371250836769
"LGALS3BP",18.2089220924357,0,2.38056713674903,20.6422345152248,18.6769090089481,4.8724876257018,19.9434608857393,28.8449882526789,46.4111380115341
"LGALS4",0,0,0.39413837228802,0,0,0,0,0,1.3325760866593
"LGALS7",115.198096974586,1465.01766395478,22.7676133380971,0.0317154485148647,0,4.64902629073374,0,0,0.54047698184301
"LGALS7B",118.02327493493,1589.33812316193,24.0235761616776,0.032039737354485,0,5.58931417878525,0,0,0.614079159249895
"LGALS8",2.35999522069789,22.3024523614003,6.21466767037724,6.92811491479199,3.69897218615704,3.59633580068771,5.36616371885106,8.25982209001391,5.73103770260024
"LGALS8.AS1",0.0545764947184427,2.1448626700876,0.302372196592484,0.74699615803948,0.666477987583757,0.227461395913925,0.645225941618861,0.532323540466474,0.180712082767984
"LGALS9",45.9496200772301,9.304127954037,42.4345119450379,23.2437910326819,34.9242628412013,34.5623917017071,22.2987826435408,25.8739021802258,44.1166820857729
"LGALS9B",3.48947239341128,1.1460012427365,6.44009464492563,3.34725808574508,5.47875977223592,4.31456736615956,3.71926257650617,3.77012280605932,5.43831714834393
"LGALS9C",6.86952613332817,1.40513195852334,6.00829404574676,3.11703344250145,4.73409430428643,4.47990440078199,3.23446724020452,3.5098855857226,6.28080998619918
"LGALSL",6.52865973615473,10.1631787196815,2.03098992898245,5.19786470041046,2.83697108508615,0.334517610240517,3.64784588810433,3.13361428886194,1.26007332233142
"LGI2",0,0,0,0,0,0,0.405175262849647,0.834390791946972,3.19320987837738
"LGI3",0.0345886292069716,13.5133191977544,0.226561625876387,0.00479713152674313,0,0,0,0.0222246163370207,0
"LGI4",0,0,0.0096972718174126,0.125624164698273,0.00694619457174007,0,0.107421444782771,0.0509185635957283,0.286075266556599
"LGMN",45.5240673663125,6.93178635157299,9.22947832162781,39.5478161775278,47.4281698883495,112.404781243885,61.6226503137797,475.170192450813,626.618135125855
"LGR4",0.00374452793951577,0,0.330031282971899,0.00256144461835863,0,0.00243467420209319,0,0.188717778950919,0.639425027945721
"LGR5",0.00682443143405327,0,0.145913794765653,0,0,0,0,0,0
"LGR6",0.05397675301824,0.0340296116751427,0.153877587959822,0,0,0.0218059763138618,0,0,0
"LGSN",0.41921773908389,0.174502162701922,0.176381339629649,0.148772757940327,0.0456135993483952,0.35547761519812,0.212334654799777,0.139043335938253,0.323394706586557
"LHB",0.178430066713824,0,0.36957372870703,0.029956848119203,0,0.0758831298111443,0,1.23476870831591,0.93218149516151
"LHCGR",0,0,0,0,0,0.0041302087094675,0.314600206112111,0.982891271129526,1.36236862545048
"LHFP",8.73705143051685,0.161427105021839,2.00328420894409,12.2346575003321,7.87664806430039,3.59929101778144,14.3558732514371,24.0413238076064,38.1866838876249
"LHFPL1",0,0,0,0,0,0,0.0370036729682507,0,0.0145379729229005
"LHFPL2",0.988173581165883,0,0.730725600484546,0.972202156313066,6.96852484139799,1.02302576467602,10.6313778812808,20.2613361642039,32.432909654551
"LHFPL3",0,0,0,0,0,0,0.0389639747892617,0,0
"LHFPL3.AS1",0,0,0.0315557419816199,0,0,0,0,0,0
"LHFPL3.AS2",0.152814833337331,0.0338067102886243,0,0,0,0,0.0253308373220583,0,0.130040233557049
"LHFPL4",0.0231188730723816,0,0.23049050011512,0,0,0,0,0.113838697554458,0
"LHFPL5",0.454657927744391,0.742751285436748,0.942553559513886,0.805456730535904,1.44314597610612,3.88477026573309,1.01517059978329,1.17380346169356,0.927371019535269
"LHPP",6.30795563604242,2.13184914446769,10.7196785220754,5.28591241425163,6.35195079647814,3.22807975382664,7.51059627174123,5.97886458156438,4.34518203803222
"LHX1",0,0.0180512658842202,0,0,0,0,0,0,0.0955178274053153
"LHX2",0,0,0.127509491347502,0,0,0.049280062364936,0,0,0
"LHX3",0,0,0.0217182791847132,0,0,0.0615538997925217,0,0.00633547937031857,0
